action_count,action_counts_json,algorithm_wall_sec,chosen_templates,clear_count,coarse_root_action_count,collocate_pairs,completed,configure_count,estimated_hardware_sec,exact_preserve,failure_reason,failure_stage,feasible,feasible_option_elapsed_sec,final_active_gpu,fine_action_count,gpu_count,iteration_count,mixed_gpu_count,peak_active_gpu,placement_elapsed_sec,reached_target,remaining_slots,scenario,sim_transition_elapsed_sec,source_active_gpu,spread,target_build_elapsed_sec,target_physical_templates,template_match_count,total_instances,total_slack,upgrade_preserve,variant,wall_sec
36,"{""bind_target_gpu"": 6, ""clear_gpu"": 9, ""clear_template"": 9, ""configure_full_template"": 6, ""place_target_layout"": 6}",0.520307645201683,4+3+4+1+1+1+4+1+1+1+3+1+1+1+1+3+1+1+1+1+2+1+1+1+1+1,9,9,51,True,6,772.8000000000001,0,,,True,0.19790762849152088,6,36,6,1,1,9,0.12655043601989746,True,0,stage0,0.002561558037996292,9,8,0.18082642555236816,4+3+4+3+4+3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,0,26,403.2507300000002,0,current_full,0.520307645201683
14,"{""allocate_gpu"": 3, ""bind_target_gpu"": 3, ""configure_full_template"": 3, ""place_target_layout"": 3, ""remove_instance"": 1, ""stop_accepting_new"": 1}",0.7636519707739353,4+3+4+3+2+2+3+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1,0,5,55,True,3,341.6,23,,,True,0.05604728311300278,9,14,9,3,2,9,0.05330371856689453,True,5,stage1,0.008264027535915375,6,12,0.6409292221069336,4+3+4+3+4+3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+3+4+3+4+3,0,34,373.3856219999998,2,current_full,0.7636519707739353
30,"{""allocate_gpu"": 1, ""bind_target_gpu"": 1, ""clear_gpu"": 4, ""clear_template"": 4, ""configure_full_template"": 1, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 2, ""place_target_layout"": 1, ""remove_instance"": 2, ""stop_accepting_new"": 13}",0.5367865692824125,4+3+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+2+2+1+1+1,4,13,48,True,1,171.8,20,,,True,0.056092334911227226,6,30,6,5,1,10,0.05311226844787598,True,6,stage2,0.015199238434433937,9,8,0.4072871208190918,4+3+4+3+2+1+1+3+1+1+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,0,25,391.6218330000006,2,current_full,0.5367865692824125
17,"{""allocate_gpu"": 2, ""bind_target_gpu"": 3, ""clear_gpu"": 1, ""clear_template"": 1, ""configure_full_template"": 3, ""place_instance"": 1, ""place_target_layout"": 3, ""stop_accepting_new"": 3}",0.6916449945420027,4+3+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1,1,5,52,True,3,354.0,22,,,True,0.055824993178248405,8,17,8,3,2,8,0.053255319595336914,True,6,stage3,0.00927562452852726,6,11,0.568068265914917,4+3+4+3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+3+4+3+4+3,0,31,593.6588179999999,2,current_full,0.6916449945420027
36,"{""bind_target_gpu"": 6, ""clear_gpu"": 9, ""clear_template"": 9, ""configure_full_template"": 6, ""place_target_layout"": 6}",0.5213052798062563,4+2+1+4+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+1+1+1+1+1+1+1,9,9,56,True,6,772.8000000000001,0,,,True,0.05646711215376854,6,36,6,1,2,9,0.04645109176635742,True,0,stage0,0.002437364310026169,9,9,0.41074514389038086,4+3+4+3+1+1+1+1+3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,0,29,107.35045098916498,0,placement_milp_original,0.5213052798062563
22,"{""allocate_gpu"": 3, ""bind_target_gpu"": 3, ""configure_full_template"": 3, ""place_instance"": 2, ""place_target_layout"": 3, ""remove_instance"": 2, ""stop_accepting_new"": 2, ""update_batch"": 4}",6.549621781334281,4+1+1+1+3+3+3+2+1+1+3+2+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1,0,12,57,True,3,349.6,24,,,True,0.05585334450006485,9,22,9,6,3,9,4.610323190689087,True,3,stage1,0.018304049968719482,6,13,1.8574409484863281,4+3+4+3+1+1+2+3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+3+4+3+4+3,0,36,84.47619099999974,2,placement_milp_original,6.549621781334281
46,"{""allocate_gpu"": 1, ""bind_target_gpu"": 2, ""clear_gpu"": 5, ""clear_template"": 5, ""configure_full_template"": 2, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 6, ""place_target_layout"": 2, ""remove_instance"": 3, ""stop_accepting_new"": 18, ""update_batch"": 1}",1.0277190562337637,4+3+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,5,21,46,True,2,306.40000000000003,21,,,True,0.0558453518897295,6,46,6,6,5,10,0.9272165298461914,True,0,stage2,0.02250071056187153,9,13,0.016156911849975586,4+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1,0,31,313.28050999995367,0,placement_milp_original,1.0277190562337637
22,"{""allocate_gpu"": 2, ""bind_target_gpu"": 3, ""clear_gpu"": 1, ""clear_template"": 1, ""configure_full_template"": 3, ""place_target_layout"": 3, ""stop_accepting_new"": 5, ""update_batch"": 4}",2.0431931149214506,3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+2+2+1+1+1+2+2+1+1+1+2+2+1+1+1,1,8,46,True,3,359.0,26,,,True,0.05773421190679073,8,22,8,4,6,8,0.47316479682922363,True,5,stage3,0.014233697205781937,6,16,1.4922025203704834,1+1+1+1+3+1+1+1+1+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1+4+3+4+3+2+2+2+1+2+2+2+1,0,35,297.5092000000004,1,placement_milp_original,2.0431931149214506
42,"{""bind_target_gpu"": 8, ""clear_gpu"": 9, ""clear_template"": 9, ""configure_full_template"": 8, ""place_target_layout"": 8}",12.706280687823892,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,9,9,50,True,8,999.2,0,,,True,0.058300336822867393,8,42,8,1,2,9,10.692378044128418,True,10,stage0,0.0032237358391284943,9,11,1.9516544342041016,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,0,28,232.82310800000025,0,placement_greedy_two_phase,12.706280687823892
49,"{""allocate_gpu"": 8, ""bind_target_gpu"": 9, ""clear_gpu"": 1, ""clear_template"": 1, ""configure_full_template"": 9, ""place_instance"": 3, ""place_target_layout"": 9, ""remove_instance"": 2, ""stop_accepting_new"": 6, ""update_batch"": 1}",25.52378797158599,7+7+7+7+7+4+3+4+3+4+3+4+3+4+3+4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,1,17,41,True,9,1041.2,22,,,True,0.05632747337222099,16,49,16,4,2,16,25.236193656921387,True,19,stage1,0.01566191017627716,8,19,0.21422028541564941,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+4+3+7+7+4+1+1+1+7+7+7+4+3+4+3,0,35,455.4508499999998,0,placement_greedy_two_phase,25.52378797158599
42,"{""clear_gpu"": 8, ""clear_template"": 8, ""place_instance"": 6, ""remove_instance"": 5, ""stop_accepting_new"": 15}",8.420093128457665,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,8,29,43,True,0,109.2,20,,,True,0.056312303990125656,8,42,8,4,2,16,7.8454461097717285,True,11,stage2,0.016580931842327118,16,11,0.5001020431518555,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+4+1+1+1,0,24,429.88950500000004,0,placement_greedy_two_phase,8.420093128457665
61,"{""allocate_gpu"": 6, ""bind_target_gpu"": 9, ""clear_gpu"": 3, ""clear_template"": 3, ""configure_full_template"": 9, ""place_instance"": 3, ""place_target_layout"": 9, ""remove_instance"": 5, ""stop_accepting_new"": 14}",17.605648066848516,7+4+3+4+3+4+3+4+3+4+3+4+1+1+1+4+1+1+1+2+2+3+3+1+1+1+1+2+2+2+1+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,3,24,13,True,9,1072.0,11,,,True,0.055584127083420753,14,61,14,9,7,14,16.821555852890015,True,22,stage3,0.033486347645521164,8,20,0.6936275959014893,4+1+1+1+4+1+1+1+4+1+1+1+4+3+1+1+1+1+1+1+1+4+3+7+7+2+2+3+7+4+3+4+3+2+2+3+2+2+3,0,29,310.344789,0,placement_greedy_two_phase,17.605648066848516
42,"{""bind_target_gpu"": 8, ""clear_gpu"": 9, ""clear_template"": 9, ""configure_full_template"": 8, ""place_target_layout"": 8}",16.541421301662922,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,9,9,50,True,8,999.2,0,,,True,0.058669328689575195,8,42,8,1,2,9,14.560000658035278,True,10,stage0,0.0028140340000391006,9,11,1.9192314147949219,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,0,28,232.82310800000025,0,placement_simulated_annealing,16.541421301662922
49,"{""allocate_gpu"": 3, ""bind_target_gpu"": 6, ""clear_gpu"": 3, ""clear_template"": 3, ""configure_full_template"": 6, ""place_instance"": 3, ""place_target_layout"": 6, ""stop_accepting_new"": 18, ""update_batch"": 1}",18.946720784530044,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1,3,13,25,True,6,732.4,16,,,True,0.05646943114697933,11,49,11,3,8,11,18.790765047073364,True,4,stage1,0.01508679986000061,8,21,0.08312773704528809,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1,0,37,493.00374799999855,0,placement_simulated_annealing,18.946720784530044
39,"{""bind_target_gpu"": 1, ""clear_gpu"": 5, ""clear_template"": 5, ""configure_full_template"": 1, ""place_instance"": 2, ""place_target_layout"": 1, ""remove_instance"": 2, ""stop_accepting_new"": 22}",11.373757438734174,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+1+1+1+1+1+1+1,5,16,31,True,1,191.20000000000002,15,,,True,0.05470597557723522,7,39,7,4,4,11,11.24216890335083,True,4,stage2,0.01539444737136364,11,12,0.06006360054016113,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+1+1+1+1+1+1+1,0,24,429.88950500000004,0,placement_simulated_annealing,11.373757438734174
13,"{""allocate_gpu"": 2, ""bind_target_gpu"": 2, ""configure_full_template"": 2, ""place_instance"": 3, ""place_target_layout"": 2, ""remove_instance"": 1, ""stop_accepting_new"": 1}",17.299763118848205,7+4+2+1+4+2+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+1+1+1+1+1+1+1,0,6,30,True,2,231.4,23,,,True,0.05481279827654362,9,13,9,4,7,9,17.09843945503235,True,4,stage3,0.011213015764951706,7,17,0.13409113883972168,7+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+4+1+1+1+1+1+1+1+1+1+1+4+2+1+4+2+1,0,30,311.17603399999996,0,placement_simulated_annealing,17.299763118848205
36,"{""bind_target_gpu"": 6, ""clear_gpu"": 9, ""clear_template"": 9, ""configure_full_template"": 6, ""place_target_layout"": 6}",0.28325378708541393,4+3+4+1+1+1+4+1+1+1+3+1+1+1+1+3+1+1+1+1+2+1+1+1+1+1,9,9,51,True,6,772.8000000000001,0,,,True,0.05626788176596165,6,36,6,1,1,9,0.062439918518066406,True,0,stage0,0.0023706182837486267,9,8,0.15712523460388184,4+3+4+3+4+3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,0,26,403.2507300000002,0,target_no_preserve,0.28325378708541393
73,"{""allocate_gpu"": 4, ""bind_target_gpu"": 6, ""clear_gpu"": 3, ""clear_template"": 3, ""configure_full_template"": 6, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 12, ""place_target_layout"": 6, ""remove_instance"": 6, ""stop_accepting_new"": 26}",1.5860354341566563,4+3+4+3+2+2+3+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1,3,27,36,True,6,754.4,0,,,True,0.06575170904397964,9,73,9,7,4,9,0.061875343322753906,True,5,stage1,0.024212008342146873,6,14,1.42909836769104,4+3+4+3+4+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+4+3+1+1+1+1+1+1+1,0,34,373.3856219999998,0,target_no_preserve,1.5860354341566563
65,"{""allocate_gpu"": 1, ""bind_target_gpu"": 4, ""clear_gpu"": 7, ""clear_template"": 7, ""configure_full_template"": 4, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 4, ""place_target_layout"": 4, ""remove_instance"": 3, ""stop_accepting_new"": 30}",2.048373220488429,4+3+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+2+2+1+1+1,7,22,36,True,4,562.6,0,,,True,0.05674300901591778,6,65,6,5,3,10,0.05386042594909668,True,6,stage2,0.0203706081956625,9,11,1.9119770526885986,4+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+2+3+1+1+1+1+1+1+1,0,25,391.6218330000006,0,target_no_preserve,2.048373220488429
