mig_uuid,mig_name,model,batch,prompt_len,output_tokens,dtype,engine,ttft_ms,decode_tps,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,gpt2-medium,1,64,64,fp16,hf,15.5701,73.1460,890.6272,888.7953,902.2610,728.40,782.00,18938.94,18846.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,gpt2-medium,1,128,64,fp16,hf,15.3979,73.7624,883.1839,878.3657,898.7331,740.66,790.00,18846.94,18838.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,gpt2-medium,1,512,64,fp16,hf,16.7383,73.3340,889.5772,888.1039,903.0188,838.76,912.00,18838.94,18714.94
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,gpt2-medium,1,64,64,fp16,hf,16.0708,73.7283,884.2647,884.4826,895.5300,728.40,782.00,4024.00,3960.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,gpt2-medium,1,128,64,fp16,hf,14.8452,89.7233,734.9386,695.7464,884.1302,740.66,790.00,3960.00,3952.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,gpt2-medium,1,512,64,fp16,hf,33.7737,93.8693,715.6893,712.6591,728.7379,838.76,912.00,3952.00,3828.00
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,gpt2-medium,1,64,64,fp16,hf,15.0123,75.6820,860.7499,857.8373,873.2318,728.40,782.00,19001.88,18917.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,gpt2-medium,1,128,64,fp16,hf,15.3102,75.2006,866.4516,865.5169,877.6563,740.66,790.00,18917.88,18909.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,gpt2-medium,1,512,64,fp16,hf,17.1752,74.3767,877.9044,874.8255,897.4201,838.76,912.00,18909.88,18785.88
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,gpt2-medium,1,64,64,fp16,hf,15.5042,75.0721,868.1467,866.4993,884.5913,728.40,780.00,8952.94,8880.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,gpt2-medium,1,128,64,fp16,hf,16.0595,75.3227,865.8125,865.3272,877.3018,740.66,790.00,8880.94,8868.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,gpt2-medium,1,512,64,fp16,hf,15.4761,94.0174,696.3892,693.7773,712.0257,838.76,912.00,8868.94,8746.94
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,gpt2-medium,1,64,64,fp16,hf,15.1986,75.3147,865.0668,861.3882,880.8100,728.40,782.00,39104.50,38984.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,gpt2-medium,1,128,64,fp16,hf,14.7775,75.0851,867.2383,865.1525,880.4382,740.66,790.00,38984.50,38976.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,gpt2-medium,1,512,64,fp16,hf,15.5870,73.9090,881.6703,878.6765,896.4990,838.76,912.00,38976.50,38852.50