mig_uuid,mig_name,model,batch,input_hw,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,densenet121,16,224x224,16.4944,16.4946,16.5059,202.65,304,19543.88,19399.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,densenet121,32,224x224,30.3258,30.3247,30.3391,366.03,512,19399.88,19191.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,densenet121,64,224x224,59.1826,59.1821,59.1964,691.77,904,19191.88,18799.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,densenet121,128,224x224,114.8228,114.8201,114.8437,1341.27,1688,18799.88,18015.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,4,299x299,7.2857,7.2643,7.4875,160.12,204,19583.88,19499.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,8,299x299,10.3456,10.3434,10.3557,216.08,314,19499.88,19389.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,16,299x299,17.1716,17.1704,17.1766,328.91,530,19389.88,19173.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,32,299x299,31.3696,31.3702,31.3836,556.37,1046,19173.88,18657.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,64,299x299,64.1659,64.1659,64.1987,1012,2070,18657.88,17631.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,128,299x299,122.2237,122.2185,122.2543,1922.9,4118,17631.88,15583.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,4,224x224,8.8871,8.8852,8.8996,411.03,446,19331.88,19255.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,8,224x224,15.1,15.0979,15.1091,476.59,546,19255.88,19155.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,16,224x224,28.0428,28.0422,28.0576,601.71,742,19155.88,18959.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,32,224x224,54.4074,54.4061,54.4164,856.96,1134,18959.88,18567.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,64,224x224,107.4086,107.4063,107.4319,1364.46,1918,18567.88,17783.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,128,224x224,212.9296,212.9265,212.9633,2381.45,3486,17783.88,16215.88
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,4,224x224,10.0429,10.0413,10.0475,690.48,706,9142.94,8958.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,8,224x224,18.1419,18.1391,18.1535,836.93,1002,8958.94,8662.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,16,224x224,33.0663,33.0619,33.0752,1135.95,1592,8662.94,8072.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,32,224x224,64.3276,64.3215,64.3482,1732.81,2770,8072.94,6894.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,64,224x224,125.5213,125.5117,125.5516,2927.3,5126,6894.94,4538.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,vgg16,128,224x224,248.8148,248.7962,248.8668,5316.3,5360,4538.94,4304.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,resnet50,4,224x224,6.5938,6.5925,6.6038,150.35,166,9544.94,9498.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,resnet50,8,224x224,11.9339,11.9337,11.9419,192.48,244,9498.94,9420.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,resnet50,16,224x224,22.7802,22.7799,22.7932,279.73,394,9420.94,9270.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,resnet50,32,224x224,42.8336,42.8329,42.8534,445.23,788,9270.94,8876.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,resnet50,64,224x224,82.188,82.1832,82.2231,783.22,1574,8876.94,8090.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,resnet50,128,224x224,161.015,161.0117,161.0711,1456.22,3144,8090.94,6520.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,densenet121,4,224x224,9.9828,9.9441,10.2103,82.09,102,9618.94,9562.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,densenet121,8,224x224,14.9088,14.9064,14.9207,122.16,160,9562.94,9504.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,densenet121,16,224x224,27.6164,27.6152,27.6347,202.65,304,9504.94,9360.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,densenet121,32,224x224,53.605,53.6064,53.6218,366.03,512,9360.94,9152.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,densenet121,64,224x224,104.7696,104.7654,104.7951,691.77,904,9152.94,8760.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,densenet121,128,224x224,207.8796,207.873,207.915,1341.27,1688,8760.94,7976.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,inception_v3,4,299x299,9.5982,9.5887,9.6,160.12,204,9544.94,9460.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,inception_v3,8,299x299,14.8773,14.8797,14.9053,216.08,314,9460.94,9350.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,inception_v3,16,299x299,27.1933,27.1892,27.2128,328.91,530,9350.94,9134.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,inception_v3,32,299x299,53.0286,53.0227,53.0473,556.37,1046,9134.94,8618.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,inception_v3,64,299x299,107.0162,107.0162,107.0684,1012,2070,8618.94,7592.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,inception_v3,128,299x299,206.221,206.2131,206.2971,1922.9,4118,7592.94,5544.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,convnext_base,4,224x224,13.1163,13.1226,13.142,411.03,446,9292.94,9216.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,convnext_base,8,224x224,22.8923,22.8905,22.9028,476.59,546,9216.94,9116.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,convnext_base,16,224x224,45.6126,45.612,45.6284,601.71,742,9116.94,8920.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,convnext_base,32,224x224,89.2367,89.2334,89.2539,856.96,1134,8920.94,8528.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,convnext_base,64,224x224,174.1053,174.1025,174.1425,1364.46,1918,8528.94,7744.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,convnext_base,128,224x224,345.5673,345.2662,346.1478,2381.45,3486,7744.94,6176.94
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vgg16,4,224x224,20.0518,20.0489,20.0643,690.48,706,4214,4040
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vgg16,8,224x224,36.6994,36.695,36.7217,836.93,1002,4040,3744
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vgg16,16,224x224,66.487,66.4812,66.5068,1135.95,1592,3744,3154
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vgg16,32,224x224,130.1766,130.1688,130.2456,1732.81,2770,3154,1976
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vgg16,64,224x224,252.8923,252.885,252.9608,2927.3,2962,1976,1784
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vgg16,128,224x224,578.3205,578.4084,578.5078,3901.16,4476,1784,270
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,resnet50,4,224x224,13.0262,13.0253,13.0396,150.35,166,4626,4580
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,resnet50,8,224x224,23.973,23.9698,23.9954,192.48,244,4580,4502
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,resnet50,16,224x224,45.5796,45.5813,45.5916,279.73,394,4502,4352
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,resnet50,32,224x224,85.4445,85.4436,85.4733,445.23,788,4352,3958
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,resnet50,64,224x224,164.5291,164.522,164.5875,783.22,1574,3958,3172
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,resnet50,128,224x224,323.4997,323.5,323.5656,1456.22,3144,3172,1602
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,densenet121,4,224x224,15.3695,15.3692,15.3836,82.09,102,4700,4644
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,densenet121,8,224x224,28.7303,28.7304,28.7488,122.16,160,4644,4586
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,densenet121,16,224x224,54.3629,54.3652,54.3898,202.65,304,4586,4442
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,densenet121,32,224x224,105.4303,105.4351,105.4577,366.03,512,4442,4234
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,densenet121,64,224x224,209.6656,209.664,209.7091,691.77,904,4234,3842
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,densenet121,128,224x224,411.6495,411.647,411.7176,1341.27,1688,3842,3058
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,4,299x299,17.4806,17.4807,17.4899,160.12,204,4626,4542
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,8,299x299,28.2792,28.2798,28.3136,216.08,314,4542,4432
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,16,299x299,54.9928,54.9919,55.0062,328.91,530,4432,4216
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,32,299x299,107.4028,107.4012,107.4371,556.37,1046,4216,3698
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,64,299x299,212.3407,212.3305,212.394,1012,2070,3698,2674
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,inception_v3,128,299x299,411.306,411.2937,411.3889,1922.9,4118,2674,626
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,4,224x224,25.625,25.6205,25.642,411.03,446,4374,4298
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,8,224x224,47.701,47.6959,47.7225,476.59,546,4298,4198
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,16,224x224,94.2456,94.2397,94.2858,601.71,742,4198,4002
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,32,224x224,178.211,178.217,178.263,856.96,1134,4002,3610
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,64,224x224,351.5419,351.5402,351.6488,1364.46,1918,3610,2826
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,convnext_base,128,224x224,711.1657,711.166,711.3175,2381.45,3486,2826,1258
